query_id,question,method,recall_at_1,recall_at_3,recall_at_5,mrr,ndcg_at_5,top_sources
roya_sintomas,¿Cuáles son los síntomas de la roya en caña de azúcar?,tfidf,0.2727272727272727,0.8181818181818182,0.8181818181818182,1.0,0.8261078551793944,"['manualplagasenfs-canaazucar-mor.pdf', 'Guia-Tecnica-del-Canero-PROICSA.pdf', 'roya_rust_cana.md']"
mosaico_manejo,¿Cómo se maneja el mosaico en caña de azúcar?,tfidf,0.5555555555555556,0.5555555555555556,0.5555555555555556,1.0,0.9899329077308577,"['Guia-Tecnica-del-Canero-PROICSA.pdf', 'DE00006_EXAMENCOMPLEXIVO.pdf', 'libro_p265-293.pdf']"
redrot_sintomas,¿Qué es la podredumbre roja y cómo afecta la caña?,tfidf,0.6666666666666666,0.6666666666666666,0.8888888888888888,1.0,0.9946573017565196,"['podredumbre_roja_redrot_cana.md', 'enfermedades_cana_azucar.md', 'manejo_integrado_enfermedades_cana.md']"
yellow_sintomas,¿Cuáles son los síntomas del amarillamiento en hojas de caña?,tfidf,0.6,0.7,0.7,1.0,0.9657447876642805,"['amarillamiento_yellow_cana.md', 'Guia-Tecnica-del-Canero-PROICSA.pdf', 'ENFERMEDADESOCASIONADASPORVIRUSENCAADEAZCARENELOCCIDENTEDEMXICO.pdf']"
healthy_monitoreo,¿Qué prácticas se recomiendan para mantener hojas sanas en caña?,tfidf,0.5,0.6666666666666666,0.6666666666666666,1.0,1.0,"['hoja_sana_healthy_cana.md', 'ENFERMEDADESOCASIONADASPORVIRUSENCAADEAZCARENELOCCIDENTEDEMXICO.pdf', 'enfermedades_cana_azucar.md']"
manejo_integrado,¿Qué es el manejo integrado de enfermedades foliares en caña de azúcar?,tfidf,0.5,0.7,0.7,1.0,0.9583310220866086,"['EscalasEvaluacinEnfermedades.pdf', 'manejo_integrado_enfermedades_cana.md', '2._GUIA_PARA_EL_MANEJO_FITOSANITARIO_DE_LA_CA_A_DE_AZ_CAR.pdf']"
bacterial_blight,¿Cuáles son los síntomas del tizón bacteriano en caña de azúcar?,tfidf,0.18181818181818182,0.36363636363636365,0.36363636363636365,1.0,1.0,"['libro_p265-293.pdf', 'libro_p265-293.pdf', '21052_417.pdf']"
plagas_cana,¿Cuáles son las principales plagas de la caña de azúcar en Colombia?,tfidf,0.6363636363636364,0.7272727272727273,0.7272727272727273,1.0,0.986724338719327,"['gm_enfermedades_2016_Cartilla_didactica_No2.pdf', 'manualplagasenfs-canaazucar-mor.pdf', 'Guia-Tecnica-del-Canero-PROICSA.pdf']"
fertilizacion_cana,¿Cómo se fertiliza la caña de azúcar para prevenir deficiencias nutricionales?,tfidf,0.16666666666666666,0.5833333333333334,0.5833333333333334,1.0,0.8542670784788277,"['manejo_integrado_enfermedades_cana.md', 'Guia-Tecnica-del-Canero-PROICSA.pdf', 'amarillamiento_yellow_cana.md']"
escalas_severidad,¿Cómo se evalúa la severidad de enfermedades foliares en caña?,tfidf,0.5,0.6,0.6,1.0,0.9646474086659645,"['EscalasEvaluacinEnfermedades.pdf', 'EscalasEvaluacinEnfermedades.pdf', 'enfermedades_cana_azucar.md']"
roya_sintomas,¿Cuáles son los síntomas de la roya en caña de azúcar?,bm25,0.6363636363636364,0.8181818181818182,0.8181818181818182,1.0,0.9755900019447109,"['MANUAL ENFERMEDAD DE CANA.pdf', 'roya_rust_cana.md', 'manejo_integrado_enfermedades_cana.md']"
mosaico_manejo,¿Cómo se maneja el mosaico en caña de azúcar?,bm25,0.7777777777777778,0.7777777777777778,0.7777777777777778,1.0,0.9955740410793988,"['mosaico_cana.md', 'manejo_integrado_enfermedades_cana.md', 'Principales_enfermedades_que_afectan_el_cultivo_de.pdf']"
redrot_sintomas,¿Qué es la podredumbre roja y cómo afecta la caña?,bm25,0.6666666666666666,0.8888888888888888,0.8888888888888888,1.0,1.0,"['podredumbre_roja_redrot_cana.md', 'Guia-Tecnica-del-Canero-PROICSA.pdf', 'enfermedades_cana_azucar.md']"
yellow_sintomas,¿Cuáles son los síntomas del amarillamiento en hojas de caña?,bm25,0.6,0.7,0.7,1.0,0.9388364164712879,"['amarillamiento_yellow_cana.md', 'mosaico_cana.md', 'DE00006_EXAMENCOMPLEXIVO.pdf']"
healthy_monitoreo,¿Qué prácticas se recomiendan para mantener hojas sanas en caña?,bm25,0.5,0.75,0.75,1.0,1.0,"['hoja_sana_healthy_cana.md', 'ENFERMEDADESOCASIONADASPORVIRUSENCAADEAZCARENELOCCIDENTEDEMXICO.pdf', 'MANUAL ENFERMEDAD DE CANA.pdf']"
manejo_integrado,¿Qué es el manejo integrado de enfermedades foliares en caña de azúcar?,bm25,0.5,0.7,0.8,1.0,0.961633124328158,"['EscalasEvaluacinEnfermedades.pdf', 'MANEJO_1.PDF', 'manejo_integrado_enfermedades_cana.md']"
bacterial_blight,¿Cuáles son los síntomas del tizón bacteriano en caña de azúcar?,bm25,0.09090909090909091,0.36363636363636365,0.5454545454545454,1.0,0.7394632663990403,"['MANUAL ENFERMEDAD DE CANA.pdf', 'Enfermedades_de_la_cana_de_azucar_en_Col.pdf', '21052_417.pdf']"
plagas_cana,¿Cuáles son las principales plagas de la caña de azúcar en Colombia?,bm25,0.5454545454545454,0.7272727272727273,0.7272727272727273,1.0,0.9637020263803925,"['Guia-Tecnica-del-Canero-PROICSA.pdf', 'Guia-Tecnica-del-Canero-PROICSA.pdf', 'gm_enfermedades_2016_Cartilla_didactica_No2.pdf']"
fertilizacion_cana,¿Cómo se fertiliza la caña de azúcar para prevenir deficiencias nutricionales?,bm25,0.4166666666666667,0.5833333333333334,0.5833333333333334,1.0,1.0,"['Guia-Tecnica-del-Canero-PROICSA.pdf', 'amarillamiento_yellow_cana.md', 'gm_enfermedades_2016_Cartilla_didactica_No2.pdf']"
escalas_severidad,¿Cómo se evalúa la severidad de enfermedades foliares en caña?,bm25,0.5,0.7,0.7,1.0,0.9583310220866086,"['EscalasEvaluacinEnfermedades.pdf', 'EscalasEvaluacinEnfermedades.pdf', 'EscalasEvaluacinEnfermedades.pdf']"
roya_sintomas,¿Cuáles son los síntomas de la roya en caña de azúcar?,semantic,0.6363636363636364,0.8181818181818182,0.8181818181818182,1.0,0.9429449285136452,"['MANUAL ENFERMEDAD DE CANA.pdf', 'roya_rust_cana.md', 'Guia-Tecnica-del-Canero-PROICSA.pdf']"
mosaico_manejo,¿Cómo se maneja el mosaico en caña de azúcar?,semantic,0.4444444444444444,0.7777777777777778,0.7777777777777778,1.0,0.8717045650647531,"['EscalasEvaluacinEnfermedades.pdf', 'MANUAL ENFERMEDAD DE CANA.pdf', 'mosaico_cana.md']"
redrot_sintomas,¿Qué es la podredumbre roja y cómo afecta la caña?,semantic,0.6666666666666666,0.6666666666666666,0.7777777777777778,1.0,0.9424346223598266,"['podredumbre_roja_redrot_cana.md', 'AnOverviewofMajorFungalDiseasesofSugarcaneinIndia.pdf', 'MANUAL ENFERMEDAD DE CANA.pdf']"
yellow_sintomas,¿Cuáles son los síntomas del amarillamiento en hojas de caña?,semantic,0.6,0.7,0.7,1.0,0.9458392915058245,"['amarillamiento_yellow_cana.md', '23182_4671.pdf', 'enfermedades_cana_azucar.md']"
healthy_monitoreo,¿Qué prácticas se recomiendan para mantener hojas sanas en caña?,semantic,0.3333333333333333,0.5833333333333334,0.5833333333333334,1.0,0.9043155961073406,"['enfermedades_cana_azucar.md', 'hoja_sana_healthy_cana.md', 'gm_enfermedades_2016_Cartilla_didactica_No2.pdf']"
manejo_integrado,¿Qué es el manejo integrado de enfermedades foliares en caña de azúcar?,semantic,0.6,0.6,0.6,1.0,0.9893457385455219,"['manejo_integrado_enfermedades_cana.md', 'EntreCaeros08_Separata_ErickChavarra.pdf', 'Cartilla_Plagas-de-la-cana-de-azucar-en-Colombia_05-01-2026.pdf']"
bacterial_blight,¿Cuáles son los síntomas del tizón bacteriano en caña de azúcar?,semantic,0.09090909090909091,0.2727272727272727,0.36363636363636365,1.0,0.8236725362821284,"['MANUAL ENFERMEDAD DE CANA.pdf', 'Guia-Tecnica-del-Canero-PROICSA.pdf', 'gm_enfermedades_2016_Cartilla_didactica_No2.pdf']"
plagas_cana,¿Cuáles son las principales plagas de la caña de azúcar en Colombia?,semantic,0.45454545454545453,0.6363636363636364,0.7272727272727273,1.0,0.9145943709727045,"['CUARENTENA PLAGAS-Y-ENFERMEDADES-EXOTICAS-DE-LA-CAÑA-DE-AZÚCAR.pdf', 'libro_p265-293.pdf', 'Cartilla_Plagas-de-la-cana-de-azucar-en-Colombia_05-01-2026.pdf']"
fertilizacion_cana,¿Cómo se fertiliza la caña de azúcar para prevenir deficiencias nutricionales?,semantic,0.25,0.3333333333333333,0.3333333333333333,1.0,0.9715577033194759,"['Guia-Tecnica-del-Canero-PROICSA.pdf', 'cartilla-cana-ICA.pdf', 'Dialnet-ManejoDeLaNutricionVariedadesYEnfermedadesFungicas-10138094.pdf']"
escalas_severidad,¿Cómo se evalúa la severidad de enfermedades foliares en caña?,semantic,0.2,0.3,0.4,1.0,0.9180678934813798,"['edlca.pdf', 'EntreCaeros08_Separata_ErickChavarra.pdf', 'EntreCaeros08_Separata_ErickChavarra.pdf']"
roya_sintomas,¿Cuáles son los síntomas de la roya en caña de azúcar?,hybrid,0.7272727272727273,0.8181818181818182,0.8181818181818182,1.0,0.9621589407376538,"['roya_rust_cana.md', 'MANUAL ENFERMEDAD DE CANA.pdf', 'Guia-Tecnica-del-Canero-PROICSA.pdf']"
mosaico_manejo,¿Cómo se maneja el mosaico en caña de azúcar?,hybrid,0.7777777777777778,0.7777777777777778,0.7777777777777778,1.0,1.0,"['mosaico_cana.md', 'DE00006_EXAMENCOMPLEXIVO.pdf', 'ENFERMEDADESOCASIONADASPORVIRUSENCAADEAZCARENELOCCIDENTEDEMXICO.pdf']"
redrot_sintomas,¿Qué es la podredumbre roja y cómo afecta la caña?,hybrid,0.6666666666666666,0.6666666666666666,0.7777777777777778,1.0,1.0,"['podredumbre_roja_redrot_cana.md', 'enfermedades_cana_azucar.md', 'manejo_integrado_enfermedades_cana.md']"
yellow_sintomas,¿Cuáles son los síntomas del amarillamiento en hojas de caña?,hybrid,0.6,0.6,0.7,1.0,0.9293022340507967,"['amarillamiento_yellow_cana.md', 'enfermedades_cana_azucar.md', '8-1a.pdf']"
healthy_monitoreo,¿Qué prácticas se recomiendan para mantener hojas sanas en caña?,hybrid,0.5,0.5833333333333334,0.6666666666666666,1.0,0.9905796544108133,"['hoja_sana_healthy_cana.md', 'enfermedades_cana_azucar.md', 'Guia-Tecnica-del-Canero-PROICSA.pdf']"
manejo_integrado,¿Qué es el manejo integrado de enfermedades foliares en caña de azúcar?,hybrid,0.6,0.7,0.7,1.0,0.9918164155015905,"['manejo_integrado_enfermedades_cana.md', 'MANEJO_1.PDF', 'MonografiaMIPencaa.pdf']"
bacterial_blight,¿Cuáles son los síntomas del tizón bacteriano en caña de azúcar?,hybrid,0.09090909090909091,0.18181818181818182,0.2727272727272727,1.0,0.7361733948453444,"['MANUAL ENFERMEDAD DE CANA.pdf', 'manejo_integrado_enfermedades_cana.md', 'EntreCaeros08_Separata_ErickChavarra.pdf']"
plagas_cana,¿Cuáles son las principales plagas de la caña de azúcar en Colombia?,hybrid,0.6363636363636364,0.7272727272727273,0.7272727272727273,1.0,0.9974346010998694,"['Cartilla_Plagas-de-la-cana-de-azucar-en-Colombia_05-01-2026.pdf', 'gm_enfermedades_2016_Cartilla_didactica_No2.pdf', 'Cartilla_Plagas-de-la-cana-de-azucar-en-Colombia_05-01-2026.pdf']"
fertilizacion_cana,¿Cómo se fertiliza la caña de azúcar para prevenir deficiencias nutricionales?,hybrid,0.25,0.4166666666666667,0.4166666666666667,1.0,1.0,"['Guia-Tecnica-del-Canero-PROICSA.pdf', '2._GUIA_PARA_EL_MANEJO_FITOSANITARIO_DE_LA_CA_A_DE_AZ_CAR.pdf', 'Guia-Tecnica-del-Canero-PROICSA.pdf']"
escalas_severidad,¿Cómo se evalúa la severidad de enfermedades foliares en caña?,hybrid,0.3,0.4,0.8,1.0,0.8633189598254876,"['Guia-Tecnica-del-Canero-PROICSA.pdf', 'EntreCaeros08_Separata_ErickChavarra.pdf', 'Guia-Tecnica-del-Canero-PROICSA.pdf']"
